Process Name,PID,,,,,,,,,,,,,
sihost.exe,9068,,,,,,,,,,,,,
svchost.exe,10316,,,,,,,,,,,,,
svchost.exe,10332,,,,,,,,,,,,,
CSFalconContainer.exe,10344,,,,,,,,,,,,,
svchost.exe,10756,,,,,,,,,,,,,
PresentMonService.exe,10892,,,,,,,,,,,,,
svchost.exe,10960,,,,,,,,,,,,,
svchost.exe,10988,,,,,,,,,,,,,
conhost.exe,11012,,,,,,,,,,,,,
taskhostw.exe,11252,,,,,,,,,,,,,
RtkAudUService64.exe,10732,,,,,,,,,,,,,
Explorer.EXE,11696,,,,,,,,,,,,,
ShellHost.exe,11732,,,,,,,,,,,,,
wssa-ui.exe,11808,,,,,,,,,,,,,
svchost.exe,12240,,,,,,,,,,,,,
svchost.exe,11456,,,,,,,,,,,,,
CrossDeviceResume.exe,1416,,,,,,,,,,,,,
MonAgentCore.exe,11016,,,,,,,,,,,,,
svchost.exe,11948,,,,,,,,,,,,,
svchost.exe,11228,,,,,,,,,,,,,
SearchHost.exe,12764,,,,,,,,,,,,,
StartMenuExperienceHost.exe,12776,,,,,,,,,,,,,
RuntimeBroker.exe,13068,,,,,,,,,,,,,
svchost.exe,13084,,,,,,,,,,,,,
RuntimeBroker.exe,12436,,,,,,,,,,,,,
svchost.exe,13320,,,,,,,,,,,,,
ctfmon.exe,14196,,,,,,,,,,,,,
msedgewebview2.exe,13372,,,,,,,,,,,,,
msedgewebview2.exe,13788,,,,,,,,,,,,,
msedgewebview2.exe,13336,,,,,,,,,,,,,
msedgewebview2.exe,5376,,,,,,,,,,,,,
msedgewebview2.exe,4756,,,,,,,,,,,,,
svchost.exe,14628,,,,,,,,,,,,,
svchost.exe,14920,,,,,,,,,,,,,
msedge.exe,15280,,,,,,,,,,,,,
msedge.exe,14568,,,,,,,,,,,,,
msedge.exe,5272,,,,,,,,,,,,,
msedge.exe,5280,,,,,,,,,,,,,
msedge.exe,15196,,,,,,,,,,,,,
msedge.exe,14428,,,,,,,,,,,,,
TextInputHost.exe,15988,,,,,,,,,,,,,
msedgewebview2.exe,16276,,,,,,,,,,,,,
SearchIndexer.exe,1684,,,,,,,,,,,,,
csc_ui.exe,17036,,,,,,,,,,,,,
CSFalconContainer.exe,9808,,,,,,,,,,,,,
CSFalconContainer.exe,17356,,,,,,,,,,,,,
ApplicationFrameHost.exe,5192,,,,,,,,,,,,,
msedge.exe,17872,,,,,,,,,,,,,
RuntimeBroker.exe,17920,,,,,,,,,,,,,
svchost.exe,18072,,,,,,,,,,,,,
Microsoft.Management.Services.IntuneWindowsAgent.exe,12300,,,,,,,,,,,,,
svchost.exe,11788,,,,,,,,,,,,,
svchost.exe,7840,,,,,,,,,,,,,
svchost.exe,18372,,,,,,,,,,,,,
svchost.exe,13212,,,,,,,,,,,,,
svchost.exe,11084,,,,,,,,,,,,,
svchost.exe,1408,,,,,,,,,,,,,
AUDIODG.EXE,16000,,,,,,,,,,,,,
svchost.exe,4100,,,,,,,,,,,,,
svchost.exe,8464,,,,,,,,,,,,,
svchost.exe,12424,,,,,,,,,,,,,
backgroundTaskHost.exe,12900,,,,,,,,,,,,,
svchost.exe,3440,,,,,,,,,,,,,
svchost.exe,2372,,,,,,,,,,,,,
svchost.exe,12956,,,,,,,,,,,,,
ShellExperienceHost.exe,2024,,,,,,,,,,,,,
svchost.exe,14864,,,,,,,,,,,,,
SystemSettings.exe,6428,,,,,,,,,,,,,
csrss.exe,10060,,,,,,,,,,,,,
winlogon.exe,5116,,,,,,,,,,,,,
fontdrvhost.exe,4032,,,,,,,,,,,,,
dwm.exe,1304,,,,,,,,,,,,,
svchost.exe,17432,,,,,,,,,,,,,
RtkAudUService64.exe,17316,,,,,,,,,,,,,
sihost.exe,17352,,,,,,,,,,,,,
wssa-ui.exe,1484,,,,,,,,,,,,,
svchost.exe,6884,,,,,,,,,,,,,
svchost.exe,8448,,,,,,,,,,,,,
svchost.exe,16116,,,,,,,,,,,,,
svchost.exe,15604,,,,,,,,,,,,,
taskhostw.exe,16524,,,,,,,,,,,,,
MicrosoftEdgeUpdate.exe,2856,,,,,,,,,,,,,
ShellHost.exe,12888,,,,,,,,,,,,,
CrossDeviceResume.exe,9152,,,,,,,,,,,,,
svchost.exe,18124,,,,,,,,,,,,,
svchost.exe,16684,,,,,,,,,,,,,
SearchHost.exe,18584,,,,,,,,,,,,,
StartMenuExperienceHost.exe,18608,,,,,,,,,,,,,
RuntimeBroker.exe,18792,,,,,,,,,,,,,
svchost.exe,18808,,,,,,,,,,,,,
RuntimeBroker.exe,18916,,,,,,,,,,,,,
msedgewebview2.exe,19560,,,,,,,,,,,,,
msedgewebview2.exe,19800,,,,,,,,,,,,,
msedgewebview2.exe,20136,,,,,,,,,,,,,
taskhostw.exe,20144,,,,,,,,,,,,,
taskhostw.exe,20164,,,,,,,,,,,,,
msedgewebview2.exe,20188,,,,,,,,,,,,,
msedgewebview2.exe,20248,,,,,,,,,,,,,
msedge.exe,19592,,,,,,,,,,,,,
msedge.exe,2264,,,,,,,,,,,,,
msedge.exe,20700,,,,,,,,,,,,,
msedge.exe,20712,,,,,,,,,,,,,
msedge.exe,20776,,,,,,,,,,,,,
msedge.exe,21056,,,,,,,,,,,,,
SecurityHealthSystray.exe,21420,,,,,,,,,,,,,
SecurityHealthService.exe,11428,,,,,,,,,,,,,
RtkAudUService64.exe,1284,,,,,,,,,,,,,
msedge.exe,2776,,,,,,,,,,,,,
RuntimeBroker.exe,13832,,,,,,,,,,,,,
OneDrive.exe,10764,,,,,,,,,,,,,
net.exe,12404,,,,,,,,,,,,,
OneDrive.Sync.Service.exe,7872,,,,,,,,,,,,,
svchost.exe,21012,,,,,,,,,,,,,
SystemSettings.exe,20292,,,,,,,,,,,,,
ApplicationFrameHost.exe,20560,,,,,,,,,,,,,
svchost.exe,4376,,,,,,,,,,,,,
svchost.exe,19164,,,,,,,,,,,,,
svchost.exe,13092,,,,,,,,,,,,,
svchost.exe,14780,,,,,,,,,,,,,
msedgewebview2.exe,19920,,,,,,,,,,,,,
Notepad.exe,2096,,,,,,,,,,,,,
msedge.exe,14080,,,,,,,,,,,,,
powershell.exe,15024,,,,,,,,,,,,,
conhost.exe,6020,,,,,,,,,,,,,
OpenConsole.exe,2020,,,,,,,,,,,,,
WindowsTerminal.exe,7312,,,,,,,,,,,,,
msedge.exe,15148,,,,,,,,,,,,,
msedge.exe,4044,,,,,,,,,,,,,
vmware-view.exe,22292,,,,,,,,,,,,,
vmware-remotemks.exe,18084,,,,,,,,,,,,,
HTML5VideoPlayer.exe,14512,,,,,,,,,,,,,
HTML5VideoPlayer.exe,6460,,,,,,,,,,,,,
HTML5VideoPlayer.exe,11760,,,,,,,,,,,,,
HTML5VideoPlayer.exe,12416,,,,,,,,,,,,,
HTML5VideoPlayer.exe,13032,,,,,,,,,,,,,
HTML5VideoPlayer.exe,21524,,,,,,,,,,,,,
HTML5VideoPlayer.exe,21552,,,,,,,,,,,,,
HTML5VideoPlayer.exe,15796,,,,,,,,,,,,,
